,name,number_of_employees,city,latitude,longitude
0,Kyte,40.0,San Francisco,37.788482,-122.409173
3,Ustream,250.0,San Francisco,37.392936,-122.07948
8,hi5,100.0,San Francisco,37.788668,-122.400558
9,Curse,58.0,San Francisco,37.787092,-122.399972
14,Kongregate,20.0,San Francisco,37.786942,-122.401245
18,Crunchyroll,50.0,San Francisco,37.781265,-122.393229
23,Rupture,25.0,San Francisco,37.783898,-122.395234
27,Zynga,115.0,San Francisco,37.765158,-122.404234
50,Serious Business,22.0,San Francisco,37.7893215,-122.4013624
53,Citizen Sports,27.0,San Francisco,37.777513,-122.397044
65,ngmoco,150.0,San Francisco,37.7705096,-122.4015807
84,Unity Technologies,200.0,San Francisco,55.6924605,12.530107
111,Exent,100.0,San Francisco,37.787646,-122.402759
